variant,retrieved SCUs
human,"[101, 103, 106, 110]"
"('aug', 'max', 0.51)","[112, 106, 113, 103, 122, 120, 110, 121, 134, 100, 101]"
"('aug', 'max', 0.6)","[112, 106, 103, 122, 110, 121, 113, 134, 100, 101]"
"('aug', 'max', 0.66)","[112, 106, 103, 122, 110, 121, 100, 101, 113]"
"('aug', 'max', 0.7)","[112, 106, 103, 122, 110, 121, 134, 100, 101]"
"('aug', 'max', 0.74)","[112, 106, 103, 122, 110, 121, 134, 101]"
"('aug', 'mean', 0.41)","[103, 106, 113, 122, 120, 110, 121, 134, 101, 148, 144]"
"('aug', 'mean', 0.49)","[103, 106, 113, 122, 110, 134, 101, 148]"
"('aug', 'mean', 0.54)","[103, 106, 122, 110, 134, 101, 148]"
"('aug', 'mean', 0.58)","[103, 106, 122, 110, 134, 101]"
"('aug', 'mean', 0.61)","[103, 106, 122, 110, 134, 101]"
"('aug', 'min', 0.24)","[103, 136, 144, 129, 134, 151, 113, 131, 120, 110, 149, 111, 101, 148]"
"('aug', 'min', 0.3)","[103, 144, 129, 134, 113, 131, 120, 110, 152, 136, 101, 148, 149]"
"('aug', 'min', 0.35)","[103, 144, 134, 113, 131, 120, 110, 101, 148, 149]"
"('aug', 'min', 0.4)","[103, 144, 134, 113, 131, 110, 101, 148]"
"('aug', 'min', 0.44)","[103, 144, 134, 113, 131, 110, 101, 148]"
"('cos', 'max', 0.53)","[121, 144, 106, 109, 103, 122, 110, 134, 139, 101]"
"('cos', 'max', 0.59)","[121, 144, 106, 103, 122, 110, 134, 139, 101]"
"('cos', 'max', 0.64)","[121, 144, 106, 103, 122, 110, 134, 139, 101]"
"('cos', 'max', 0.69)","[121, 106, 103, 122, 110, 134, 139, 101]"
"('cos', 'max', 0.72)","[121, 106, 103, 122, 139, 101]"
"('cos', 'mean', 0.4)","[103, 144, 106, 122, 110, 134, 101, 131]"
"('cos', 'mean', 0.47)","[103, 144, 106, 122, 110, 101, 131]"
"('cos', 'mean', 0.52)","[103, 144, 106, 122, 110, 101, 131]"
"('cos', 'mean', 0.56)","[103, 144, 106, 122, 110, 101, 131]"
"('cos', 'mean', 0.59)","[103, 144, 106, 122, 110, 148, 131]"
"('cos', 'min', 0.24)","[103, 144, 134, 115, 131, 118, 110, 121, 158, 136, 130, 148]"
"('cos', 'min', 0.32)","[103, 144, 134, 131, 110, 136, 148]"
"('cos', 'min', 0.36)","[103, 144, 134, 131, 110, 136, 148]"
