variant,retrieved SCUs
"('cos', 'min', 0.4)","[103, 144, 134, 131, 110, 136, 148]"
"('cos', 'min', 0.43)","[103, 144, 134, 131, 110, 136, 148]"
"('ro', 'max', 0.19)","[105, 106, 134, 156, 160, 137, 103, 148, 142, 120, 121, 116, 110, 126, 117, 150]"
"('ro', 'max', 0.28)","[105, 106, 134, 156, 160, 103, 148, 142, 120, 121, 126, 117, 116, 150]"
"('ro', 'max', 0.32)","[105, 106, 134, 156, 137, 103, 148, 142, 120, 121, 117, 116, 150]"
"('ro', 'max', 0.36)","[105, 106, 134, 137, 103, 148, 142, 120, 121, 117, 116]"
"('ro', 'max', 0.42)","[105, 110, 137, 148, 103, 120, 134, 106, 116, 142]"
"('ro', 'mean', 0.14)","[148, 142, 150, 106, 134, 113, 103, 120, 121, 144, 101, 152]"
"('ro', 'mean', 0.2)","[148, 142, 150, 106, 134, 113, 103, 120, 144, 152]"
"('ro', 'mean', 0.23)","[148, 142, 150, 106, 134, 113, 103, 120, 152]"
"('ro', 'mean', 0.26)","[148, 142, 150, 106, 134, 113, 103, 120, 152]"
"('ro', 'mean', 0.29)","[148, 142, 132, 134, 113, 103, 120, 106, 150]"
"('ro', 'min', 0.06)","[148, 142, 150, 144, 146, 134, 113, 103, 120, 110, 106, 101, 152]"
"('ro', 'min', 0.08)","[148, 142, 150, 144, 146, 134, 113, 103, 120, 106, 101, 152]"
"('ro', 'min', 0.11)","[148, 142, 150, 144, 146, 134, 113, 103, 120, 106, 101, 152]"
"('ro', 'min', 0.13)","[148, 142, 150, 144, 146, 134, 113, 103, 120, 106, 152]"
"('ro', 'min', 0.16)","[105, 134, 150, 116, 103, 142, 148, 120, 106, 144, 152]"
"('uni', 'max', 0.14)","[148, 121, 106, 134, 156, 160, 137, 103, 142, 120, 126, 117, 116, 150]"
"('uni', 'max', 0.2)","[148, 121, 106, 134, 156, 137, 103, 142, 110, 101, 116, 150]"
"('uni', 'max', 0.25)","[148, 121, 106, 134, 137, 103, 142, 120, 101, 116]"
"('uni', 'max', 0.29)","[148, 121, 106, 160, 103, 120, 134, 144, 116, 142]"
"('uni', 'max', 0.33)","[148, 121, 106, 160, 103, 120, 134, 110, 150, 142]"
"('uni', 'mean', 0.1)","[148, 121, 106, 134, 150, 113, 103, 142, 120, 144, 152]"
"('uni', 'mean', 0.15)","[148, 121, 106, 134, 150, 113, 103, 142, 120, 152]"
"('uni', 'mean', 0.17)","[148, 121, 106, 134, 113, 103, 142, 120, 150]"
"('uni', 'mean', 0.2)","[148, 121, 106, 113, 103, 142, 120, 134, 144, 150]"
"('uni', 'mean', 0.23)","[148, 121, 106, 103, 120, 134, 144, 150, 142]"
"('uni', 'min', 0.04)","[121, 150, 144, 146, 134, 113, 103, 142, 148, 120, 110, 106, 101, 152]"
"('uni', 'min', 0.07)","[121, 150, 144, 146, 134, 113, 103, 142, 148, 120, 110, 106, 101, 152]"
"('uni', 'min', 0.09)","[121, 150, 144, 134, 113, 103, 142, 148, 120, 110, 106, 152]"
"('uni', 'min', 0.11)","[121, 150, 144, 134, 116, 103, 142, 148, 120, 110, 106, 152]"
"('uni', 'min', 0.13)","[121, 150, 116, 103, 142, 148, 120, 110, 106]"
