variant,retrieved SCUs
human,"[101, 103, 105, 110, 118]"
"('aug', 'max', 0.51)","[103, 121, 105, 112, 120, 110, 113, 106, 146, 101, 100, 122, 115]"
"('aug', 'max', 0.6)","[112, 105, 103, 110, 113, 106, 101, 100, 122, 115]"
"('aug', 'max', 0.66)","[112, 105, 103, 110, 113, 106, 101, 100, 122, 115]"
"('aug', 'max', 0.7)","[112, 105, 103, 110, 106, 101, 100, 122, 113, 115]"
"('aug', 'max', 0.74)","[112, 121, 103, 105, 110, 106, 101, 122, 115]"
"('aug', 'mean', 0.41)","[103, 121, 105, 120, 110, 113, 106, 148, 136, 122, 115]"
"('aug', 'mean', 0.49)","[103, 105, 110, 113, 106, 148, 136, 122, 115]"
"('aug', 'mean', 0.54)","[103, 105, 110, 106, 148, 136, 122, 115, 113]"
"('aug', 'mean', 0.58)","[103, 110, 106, 148, 136, 122, 113, 115]"
"('aug', 'mean', 0.61)","[103, 110, 106, 148, 136, 122, 113, 115]"
"('aug', 'min', 0.24)","[103, 136, 151, 120, 110, 149, 134, 148, 129, 131, 115, 113]"
"('aug', 'min', 0.3)","[103, 136, 120, 110, 149, 134, 148, 129, 131, 115, 113]"
"('aug', 'min', 0.35)","[103, 120, 110, 149, 134, 148, 136, 115, 131, 113]"
"('aug', 'min', 0.4)","[103, 110, 142, 134, 148, 136, 115, 131, 113]"
"('aug', 'min', 0.44)","[103, 110, 134, 148, 136, 115, 131, 113]"
"('cos', 'max', 0.53)","[100, 105, 103, 121, 110, 106, 101, 122, 115, 109]"
"('cos', 'max', 0.59)","[100, 121, 103, 105, 110, 106, 101, 139, 122, 115]"
"('cos', 'max', 0.64)","[121, 103, 105, 110, 106, 101, 139, 122, 115]"
"('cos', 'max', 0.69)","[121, 105, 106, 101, 103, 122, 115]"
"('cos', 'max', 0.72)","[121, 105, 106, 101, 103, 122, 115]"
"('cos', 'mean', 0.4)","[100, 103, 105, 110, 134, 136, 122, 131, 113, 115]"
"('cos', 'mean', 0.47)","[100, 103, 110, 134, 136, 122, 131, 113, 115]"
"('cos', 'mean', 0.52)","[103, 110, 134, 136, 122, 113, 115]"
"('cos', 'mean', 0.56)","[103, 110, 134, 136, 122, 113, 115]"
"('cos', 'mean', 0.59)","[103, 110, 122, 113, 115]"
"('cos', 'min', 0.24)","[103, 102, 136, 137, 118, 110, 148, 142, 134, 147, 140, 111, 130, 131, 115, 113]"
"('cos', 'min', 0.32)","[103, 102, 110, 134, 140, 111, 147, 136, 113, 115]"
"('cos', 'min', 0.36)","[100, 103, 110, 134, 136, 113, 115]"
"('cos', 'min', 0.4)","[100, 103, 110, 134, 136, 113, 115]"
"('cos', 'min', 0.43)","[103, 110, 134, 136, 113, 115]"
"('ro', 'max', 0.19)","[148, 142, 121, 156, 103, 150, 105, 120, 116, 107, 134, 101, 137, 106, 126, 112, 113, 160, 122]"
"('ro', 'max', 0.28)","[148, 142, 121, 156, 103, 150, 105, 120, 110, 107, 134, 101, 106, 126, 112, 113, 160]"
"('ro', 'max', 0.32)","[148, 142, 121, 156, 103, 150, 105, 120, 116, 107, 134, 101, 106, 112, 113, 137]"
"('ro', 'max', 0.36)","[148, 142, 121, 103, 150, 105, 120, 116, 107, 134, 101, 106, 132, 112, 113, 137]"
"('ro', 'max', 0.42)","[105, 103, 153, 110, 101, 148, 158, 142, 150, 137]"
"('ro', 'mean', 0.14)","[148, 142, 121, 127, 150, 103, 105, 120, 110, 132, 134, 151, 106, 101, 158, 115, 113, 122]"
"('ro', 'mean', 0.2)","[105, 127, 103, 150, 120, 132, 134, 148, 106, 158, 142, 115, 113]"
"('ro', 'mean', 0.23)","[105, 127, 103, 150, 110, 132, 134, 148, 120, 106, 158, 142, 115, 113]"
"('ro', 'mean', 0.26)","[105, 127, 103, 150, 120, 132, 134, 148, 106, 158, 142, 115, 113]"
"('ro', 'mean', 0.29)","[105, 150, 103, 120, 132, 148, 158, 142, 130, 113]"
"('ro', 'min', 0.06)","[148, 142, 127, 150, 103, 120, 110, 132, 134, 118, 151, 147, 146, 101, 115, 113, 122]"
"('ro', 'min', 0.08)","[148, 142, 127, 150, 103, 120, 132, 134, 118, 151, 147, 146, 101, 115, 113, 122]"
"('ro', 'min', 0.11)","[148, 142, 127, 150, 103, 120, 132, 134, 151, 146, 101, 115, 113, 122]"
"('ro', 'min', 0.13)","[148, 142, 127, 150, 103, 120, 132, 134, 151, 146, 101, 130, 113]"
"('ro', 'min', 0.16)","[105, 150, 103, 148, 142, 120, 132, 134, 147, 137, 130, 116]"
"('uni', 'max', 0.14)","[148, 142, 121, 156, 103, 150, 102, 120, 110, 107, 134, 101, 137, 106, 126, 112, 113, 160, 115]"
"('uni', 'max', 0.2)","[148, 142, 121, 156, 103, 150, 120, 110, 107, 134, 101, 106, 126, 112, 113, 115]"
"('uni', 'max', 0.25)","[148, 142, 121, 103, 150, 110, 107, 134, 101, 106, 126, 112, 151, 113, 137]"
"('uni', 'max', 0.29)","[148, 121, 156, 150, 110, 101, 106, 126, 103, 158, 142, 131, 113]"
"('uni', 'max', 0.33)","[148, 121, 156, 150, 110, 106, 126, 103, 158, 142, 113, 115]"
"('uni', 'mean', 0.1)","[148, 142, 121, 127, 150, 103, 120, 110, 132, 134, 151, 106, 112, 115, 113]"
"('uni', 'mean', 0.15)","[148, 121, 127, 103, 150, 110, 132, 134, 120, 106, 126, 112, 151, 113, 142]"
"('uni', 'mean', 0.17)","[148, 121, 127, 103, 150, 110, 132, 120, 101, 112, 151, 113, 142]"
"('uni', 'mean', 0.2)","[148, 121, 103, 150, 110, 120, 101, 158, 142, 115, 113]"
"('uni', 'mean', 0.23)","[148, 121, 150, 120, 101, 103, 158, 142, 137, 115]"
"('uni', 'min', 0.04)","[121, 127, 150, 103, 148, 131, 120, 110, 132, 134, 118, 151, 147, 146, 101, 158, 142, 115, 113, 122]"
"('uni', 'min', 0.07)","[121, 127, 150, 103, 148, 131, 120, 132, 134, 151, 146, 101, 158, 142, 115, 113, 122]"
"('uni', 'min', 0.09)","[121, 127, 103, 150, 120, 132, 134, 148, 151, 101, 158, 142, 131, 115, 113]"
"('uni', 'min', 0.11)","[121, 127, 103, 150, 120, 132, 134, 148, 101, 158, 142, 131, 113]"
"('uni', 'min', 0.13)","[121, 127, 103, 150, 120, 148, 101, 158, 142, 131, 113]"
