variant,retrieved SCUs
human,"[105, 109, 120, 153]"
"('aug', 'max', 0.51)","[112, 153, 103, 111, 100, 107, 101, 109, 122, 120, 115, 125]"
"('aug', 'max', 0.6)","[112, 153, 103, 100, 107, 101, 109, 122, 120, 115, 125]"
"('aug', 'max', 0.66)","[112, 153, 103, 100, 107, 113, 122, 120, 115, 125]"
"('aug', 'max', 0.7)","[112, 153, 103, 100, 107, 113, 122, 120, 115, 125]"
"('aug', 'max', 0.74)","[112, 153, 103, 100, 107, 113, 122, 120, 115, 125]"
"('aug', 'mean', 0.41)","[103, 153, 111, 134, 101, 137, 122, 120, 141, 115, 125]"
"('aug', 'mean', 0.49)","[103, 153, 134, 122, 120, 115, 125]"
"('aug', 'mean', 0.54)","[103, 153, 146, 122, 120, 115, 125]"
"('aug', 'mean', 0.58)","[103, 153, 146, 122, 120, 115, 125]"
"('aug', 'mean', 0.61)","[103, 153, 146, 122, 120, 115, 125]"
"('aug', 'min', 0.24)","[103, 127, 153, 111, 115, 141, 151, 160, 134, 146, 123, 113, 148, 136, 142, 129, 137, 131, 120, 147, 158, 121, 143]"
"('aug', 'min', 0.3)","[103, 153, 115, 160, 134, 123, 136, 142, 129, 137, 131, 120, 111, 121, 143]"
"('aug', 'min', 0.35)","[103, 153, 115, 160, 134, 136, 142, 137, 131, 111, 120, 141, 125]"
"('aug', 'min', 0.4)","[103, 153, 134, 137, 142, 131, 120, 141, 115, 125]"
"('aug', 'min', 0.44)","[103, 153, 134, 137, 131, 120, 115, 125]"
"('cos', 'max', 0.53)","[121, 153, 103, 114, 101, 122, 120, 115, 125]"
"('cos', 'max', 0.59)","[121, 153, 103, 114, 113, 122, 120, 115, 125]"
"('cos', 'max', 0.64)","[121, 153, 103, 114, 113, 122, 120, 115, 125]"
"('cos', 'max', 0.69)","[121, 153, 103, 139, 122, 120, 115, 125]"
"('cos', 'max', 0.72)","[121, 153, 103, 139, 122, 120, 125]"
"('cos', 'mean', 0.4)","[103, 153, 123, 146, 112, 137, 131, 122, 120, 115, 121, 125]"
"('cos', 'mean', 0.47)","[103, 153, 146, 137, 131, 122, 120, 115, 125]"
"('cos', 'mean', 0.52)","[103, 153, 146, 113, 122, 120, 115, 131, 125]"
"('cos', 'mean', 0.56)","[103, 153, 113, 122, 120, 115, 131, 125]"
"('cos', 'mean', 0.59)","[103, 153, 131, 122, 120, 115, 125]"
"('cos', 'min', 0.24)","[150, 160, 153, 103, 115, 131, 123, 101, 128, 129, 142, 137, 148, 120, 111, 121, 143]"
"('cos', 'min', 0.32)","[150, 153, 103, 123, 146, 137, 131, 142, 120, 115, 121, 143]"
"('cos', 'min', 0.36)","[150, 153, 103, 123, 131, 142, 137, 115, 120, 125]"
"('cos', 'min', 0.4)","[103, 153, 146, 137, 131, 115, 120, 123, 125]"
"('cos', 'min', 0.43)","[103, 153, 146, 137, 131, 120, 115, 125]"
"('ro', 'max', 0.19)","[105, 121, 153, 103, 148, 111, 156, 113, 107, 158, 139, 132, 150, 101, 117, 106, 142, 109, 137, 120, 108, 122, 143]"
"('ro', 'max', 0.28)","[105, 121, 153, 103, 148, 156, 107, 158, 108, 101, 117, 150, 106, 142, 109, 111, 120, 122, 143]"
"('ro', 'max', 0.32)","[105, 150, 153, 103, 148, 156, 121, 107, 158, 108, 117, 106, 112, 111, 142, 120]"
"('ro', 'max', 0.36)","[105, 153, 103, 148, 121, 107, 158, 108, 117, 106, 112, 151, 142, 120]"
"('ro', 'max', 0.42)","[105, 153, 103, 121, 158, 112, 142, 120]"
"('ro', 'mean', 0.14)","[105, 102, 153, 103, 148, 127, 158, 122, 152, 150, 106, 121, 151, 142, 120, 143]"
"('ro', 'mean', 0.2)","[105, 102, 153, 103, 148, 158, 152, 150, 106, 121, 122, 151, 142, 120]"
"('ro', 'mean', 0.23)","[105, 150, 153, 103, 148, 158, 132, 152, 106, 142, 122, 151, 120]"
"('ro', 'mean', 0.26)","[105, 150, 153, 103, 148, 158, 152, 106, 112, 151, 142, 120]"
"('ro', 'mean', 0.29)","[105, 150, 153, 103, 148, 158, 132, 142, 151, 120]"
"('ro', 'min', 0.06)","[148, 142, 150, 102, 153, 103, 127, 147, 158, 152, 146, 122, 151, 120, 101, 125]"
"('ro', 'min', 0.08)","[148, 142, 150, 102, 153, 103, 127, 147, 158, 152, 146, 122, 151, 120, 101, 125]"
"('ro', 'min', 0.11)","[148, 142, 150, 102, 153, 103, 127, 158, 152, 146, 122, 151, 120, 101, 143]"
"('ro', 'min', 0.13)","[148, 142, 150, 102, 153, 103, 127, 158, 152, 146, 122, 151, 120, 101]"
"('ro', 'min', 0.16)","[148, 142, 150, 102, 153, 103, 158, 152, 122, 151, 120]"
"('uni', 'max', 0.14)","[148, 121, 150, 153, 103, 111, 156, 130, 107, 158, 101, 117, 106, 109, 137, 142, 120, 108, 122, 143]"
"('uni', 'max', 0.2)","[148, 121, 150, 153, 103, 156, 107, 158, 101, 117, 106, 151, 109, 120, 142]"
"('uni', 'max', 0.25)","[148, 121, 153, 103, 107, 158, 108, 117, 106, 142, 151, 120]"
"('uni', 'max', 0.29)","[121, 153, 103, 158, 105, 142, 120]"
"('uni', 'max', 0.33)","[121, 153, 103, 158, 142, 120]"
"('uni', 'mean', 0.1)","[148, 121, 150, 153, 103, 127, 158, 102, 122, 152, 106, 142, 146, 151, 120, 143]"
"('uni', 'mean', 0.15)","[148, 121, 150, 153, 103, 158, 152, 106, 142, 151, 120, 122]"
"('uni', 'mean', 0.17)","[148, 121, 150, 153, 103, 158, 132, 142, 151, 120]"
"('uni', 'mean', 0.2)","[121, 153, 103, 148, 127, 158, 142, 151, 120]"
"('uni', 'mean', 0.23)","[121, 153, 103, 148, 158, 142, 120]"
"('uni', 'min', 0.04)","[121, 150, 153, 103, 148, 127, 147, 158, 102, 122, 152, 146, 142, 151, 120, 101, 143]"
"('uni', 'min', 0.07)","[121, 150, 153, 103, 148, 127, 158, 102, 122, 152, 146, 142, 151, 120, 101, 143]"
"('uni', 'min', 0.09)","[121, 150, 153, 103, 148, 147, 158, 102, 152, 142, 146, 151, 120]"
"('uni', 'min', 0.11)","[121, 150, 153, 103, 148, 119, 152, 146, 142, 151, 120]"
"('uni', 'min', 0.13)","[121, 150, 153, 103, 148, 158, 142, 151, 120]"
