variant,retrieved SCUs
human,"[105, 110, 145, 135, 159]"
"('aug', 'max', 0.51)","[112, 105, 103, 109, 120, 106, 100, 159, 146, 107, 145, 101, 110, 152]"
"('aug', 'max', 0.6)","[112, 105, 103, 106, 159, 107, 145, 110, 152]"
"('aug', 'max', 0.66)","[112, 105, 103, 159, 107, 145, 106, 110, 152]"
"('aug', 'max', 0.7)","[112, 105, 103, 159, 107, 145, 106, 110, 152]"
"('aug', 'max', 0.74)","[112, 105, 103, 159, 107, 145, 106, 110, 152]"
"('aug', 'mean', 0.41)","[103, 113, 105, 120, 134, 107, 145, 106, 102, 110, 152]"
"('aug', 'mean', 0.49)","[103, 105, 159, 107, 145, 106, 102, 110, 152]"
"('aug', 'mean', 0.54)","[103, 105, 159, 107, 145, 106, 110, 152]"
"('aug', 'mean', 0.58)","[103, 159, 107, 145, 106, 110, 152]"
"('aug', 'mean', 0.61)","[103, 159, 107, 106, 110, 152]"
"('aug', 'min', 0.24)","[103, 136, 157, 113, 105, 134, 151, 120, 106, 107, 153, 102, 152, 110, 144, 129, 148, 111]"
"('aug', 'min', 0.3)","[103, 157, 113, 105, 120, 106, 107, 153, 134, 102, 110, 144, 129, 152, 148, 111]"
"('aug', 'min', 0.35)","[103, 105, 134, 120, 159, 107, 153, 102, 110, 144, 152]"
"('aug', 'min', 0.4)","[103, 113, 111, 159, 107, 153, 134, 102, 110, 144, 152]"
"('aug', 'min', 0.44)","[103, 113, 159, 107, 153, 134, 102, 110, 144, 152]"
"('cos', 'max', 0.53)","[121, 105, 103, 109, 159, 107, 145, 106, 110, 152]"
"('cos', 'max', 0.59)","[121, 105, 103, 159, 107, 145, 106, 110, 152]"
"('cos', 'max', 0.64)","[121, 105, 103, 159, 107, 145, 106, 110]"
"('cos', 'max', 0.69)","[121, 105, 103, 159, 107, 145, 106]"
"('cos', 'max', 0.72)","[121, 105, 103, 159, 107, 145, 106]"
"('cos', 'mean', 0.4)","[112, 103, 105, 159, 107, 145, 106, 110, 134, 152]"
"('cos', 'mean', 0.47)","[103, 159, 107, 145, 106, 105, 110, 152]"
"('cos', 'mean', 0.52)","[103, 105, 159, 107, 145, 106, 110, 152]"
"('cos', 'mean', 0.56)","[103, 159, 107, 145, 106, 110, 152]"
"('cos', 'mean', 0.59)","[103, 159, 107, 106, 110]"
"('cos', 'min', 0.24)","[103, 143, 115, 137, 134, 118, 105, 159, 146, 153, 150, 107, 110, 144, 152, 111]"
"('cos', 'min', 0.32)","[103, 134, 159, 107, 153, 105, 110, 144, 152]"
"('cos', 'min', 0.36)","[103, 134, 159, 107, 153, 105, 110, 144, 152]"
"('cos', 'min', 0.4)","[103, 159, 107, 153, 134, 110, 152]"
"('cos', 'min', 0.43)","[103, 159, 107, 153, 134, 110, 152]"
"('ro', 'max', 0.19)","[148, 142, 150, 137, 103, 105, 121, 122, 156, 111, 120, 159, 108, 107, 158, 145, 134, 130, 101, 106, 152]"
"('ro', 'max', 0.28)","[148, 142, 150, 105, 121, 122, 103, 156, 111, 120, 159, 108, 107, 158, 134, 130, 101, 106, 152]"
"('ro', 'max', 0.32)","[148, 142, 150, 105, 121, 156, 103, 120, 159, 107, 158, 134, 130, 101, 106, 152]"
"('ro', 'max', 0.36)","[148, 142, 103, 105, 120, 121, 159, 107, 158, 134, 130, 101, 106]"
"('ro', 'max', 0.42)","[148, 142, 105, 103, 120, 121, 159, 107, 158, 130, 101, 106]"
"('ro', 'mean', 0.14)","[148, 142, 150, 151, 103, 105, 127, 134, 111, 120, 159, 107, 158, 145, 112, 106, 152, 121]"
"('ro', 'mean', 0.2)","[105, 103, 150, 134, 111, 120, 148, 159, 107, 158, 112, 106, 142, 152, 121]"
"('ro', 'mean', 0.23)","[105, 103, 150, 134, 120, 148, 159, 107, 111, 158, 142, 106, 152, 121]"
"('ro', 'mean', 0.26)","[105, 103, 150, 134, 120, 148, 159, 107, 158, 142, 106, 152, 121]"
"('ro', 'mean', 0.29)","[105, 103, 150, 120, 148, 159, 107, 158, 106, 142, 121]"
"('ro', 'min', 0.06)","[148, 142, 150, 151, 103, 105, 127, 134, 120, 159, 111, 158, 145, 147, 102, 144, 146, 152, 121]"
"('ro', 'min', 0.08)","[148, 142, 150, 151, 103, 105, 127, 134, 120, 159, 111, 158, 145, 147, 102, 144, 146, 152, 121]"
"('ro', 'min', 0.11)","[148, 142, 150, 151, 103, 105, 127, 134, 120, 159, 111, 158, 102, 144, 146, 152, 121]"
"('ro', 'min', 0.13)","[148, 142, 150, 151, 103, 105, 127, 134, 120, 159, 111, 158, 144, 146, 152, 121]"
"('ro', 'min', 0.16)","[148, 142, 102, 134, 150, 120, 159, 111, 158, 105, 152, 121]"
"('uni', 'max', 0.14)","[148, 142, 150, 137, 105, 121, 122, 103, 156, 111, 120, 159, 108, 107, 158, 134, 102, 101, 106, 152]"
"('uni', 'max', 0.2)","[148, 142, 150, 103, 121, 105, 111, 120, 159, 107, 158, 134, 101, 106, 152]"
"('uni', 'max', 0.25)","[148, 121, 103, 105, 120, 159, 107, 158, 134, 101, 106, 142]"
"('uni', 'max', 0.29)","[148, 121, 105, 103, 120, 159, 107, 158, 106, 101, 142]"
"('uni', 'max', 0.33)","[148, 121, 105, 103, 120, 159, 107, 158, 106, 142]"
"('uni', 'mean', 0.1)","[148, 121, 151, 103, 105, 150, 127, 134, 111, 120, 159, 107, 158, 106, 142, 152]"
"('uni', 'mean', 0.15)","[148, 121, 103, 105, 150, 120, 159, 107, 158, 134, 106, 142, 152]"
"('uni', 'mean', 0.17)","[148, 121, 103, 150, 134, 120, 159, 107, 158, 106, 142]"
"('uni', 'mean', 0.2)","[148, 121, 103, 150, 120, 159, 107, 158, 106, 142]"
"('uni', 'mean', 0.23)","[148, 121, 105, 120, 103, 159, 107, 158, 106, 142]"
"('uni', 'min', 0.04)","[121, 150, 151, 103, 105, 127, 134, 120, 148, 159, 111, 158, 145, 147, 102, 110, 142, 152]"
"('uni', 'min', 0.07)","[121, 150, 151, 103, 105, 127, 134, 120, 148, 159, 111, 158, 145, 110, 142, 152]"
"('uni', 'min', 0.09)","[121, 150, 151, 103, 134, 120, 148, 159, 111, 158, 110, 142, 152]"
"('uni', 'min', 0.11)","[121, 150, 103, 134, 120, 148, 159, 111, 158, 110, 142, 152]"
"('uni', 'min', 0.13)","[121, 150, 103, 127, 120, 148, 159, 111, 158, 106, 142]"
